job_id,ecutwfc_Ry,ecutrho_Ry,kgrid,status,E_per_fu_Ry,dE_vs_tightest_pct,pressure_kbar,dP_vs_tightest_kbar,wall_s
scf_ecut40_k2,40.0,160.0,2x2x2,DONE,-237.404399905,0.31732,-1035.65,-1002.41,8.8
scf_ecut40_k4,40.0,160.0,4x4x4,DONE,-237.408043395,0.3158,-1032.88,-999.64,26.2
scf_ecut40_k6,40.0,160.0,6x6x6,DONE,-237.405881545,0.3167,-1034.85,-1001.61,65.3
scf_ecut60_k2,60.0,240.0,2x2x2,DONE,-238.12397404,0.01519,-141.52,-108.28,12.5
scf_ecut60_k4,60.0,240.0,4x4x4,DONE,-238.124233145,0.01508,-142.43,-109.19,47.4
scf_ecut60_k6,60.0,240.0,6x6x6,DONE,-238.12446035,0.01498,-141.89,-108.65,125.7
scf_ecut80_k2,80.0,320.0,2x2x2,DONE,-238.15930778,0.00035,-34.76,-1.52,20.1
scf_ecut80_k4,80.0,320.0,4x4x4,DONE,-238.15987742,0.00011,-34.98,-1.74,47.3
scf_ecut80_k6,80.0,320.0,6x6x6,DONE,-238.15987974,0.00011,-34.98,-1.74,123.8
scf_ecut100_k2,100.0,400.0,2x2x2,DONE,-238.1595635,0.00024,-33.05,0.19,28.6
scf_ecut100_k4,100.0,400.0,4x4x4,DONE,-238.16013926,0.0,-33.24,0.0,78.2
scf_ecut100_k6,100.0,400.0,6x6x6,DONE,-238.16014131,0.0,-33.24,0.0,184.2
