structure,mode,frequency_cm1_raw,frequency_cm1_asr,irrep,degeneracy,acoustic_or_optical,matched_B0_mode,eigenvector_overlap,stability_class
B0,1,-110.902171,-111.88,A_1,1,optical,1,1.0,imaginary_optical
B0,2,-66.612117,-66.61,A_2,1,optical,2,1.0,imaginary_optical
B0,3,-29.898348,-0.0,E,3,acoustic,3,1.0,acoustic
B0,4,-29.898348,-0.0,E,3,acoustic,4,1.0,acoustic
B0,5,7.476581,0.0,A_1,3,acoustic,5,1.0,acoustic
B0,6,137.647761,137.31,E,2,optical,6,1.0,stable_optical
B0,7,137.647761,137.31,E,2,optical,7,1.0,stable_optical
B0,8,217.544872,217.49,E,2,optical,8,1.0,stable_optical
B0,9,217.544872,217.49,E,2,optical,9,1.0,stable_optical
B0,10,269.650788,269.15,E,2,optical,10,1.0,stable_optical
B0,11,269.650788,269.15,E,2,optical,11,1.0,stable_optical
B0,12,279.380073,279.38,A_2,1,optical,12,1.0,stable_optical
B0,13,291.562859,291.14,A_1,1,optical,13,1.0,stable_optical
B0,14,310.343905,310.29,E,2,optical,14,1.0,stable_optical
B0,15,310.343905,310.29,E,2,optical,15,1.0,stable_optical
B0,16,370.522911,370.49,A_1,1,optical,16,1.0,stable_optical
B0,17,386.198632,386.2,A_2,1,optical,17,1.0,stable_optical
B0,18,396.660451,396.43,E,2,optical,18,1.0,stable_optical
B0,19,396.660451,396.43,E,2,optical,19,1.0,stable_optical
B0,20,425.231298,425.23,A_2,1,optical,20,1.0,stable_optical
B0,21,491.755144,491.08,E,2,optical,21,1.0,stable_optical
B0,22,491.755144,491.08,E,2,optical,22,1.0,stable_optical
B0,23,506.537667,506.47,E,2,optical,23,1.0,stable_optical
B0,24,506.537667,506.47,E,2,optical,24,1.0,stable_optical
B0,25,578.191271,577.78,E,2,optical,25,1.0,stable_optical
B0,26,578.191271,577.78,E,2,optical,26,1.0,stable_optical
B0,27,639.343345,639.36,A_1,1,optical,27,1.0,stable_optical
B0,28,657.903287,657.76,E,2,optical,28,1.0,stable_optical
B0,29,657.903287,657.76,E,2,optical,29,1.0,stable_optical
B0,30,825.714022,825.71,A_2,1,optical,30,1.0,stable_optical
B1,1,-9.664148,0.0,E,3,acoustic,3+4+5,1.0,acoustic
B1,2,-9.664148,0.0,E,3,acoustic,3+4+5,1.0,acoustic
B1,3,4.165883,0.0,A_1,3,acoustic,3+4+5,1.0,acoustic
B1,4,143.799225,144.55,E,2,optical,6+7,0.915,stable_optical
B1,5,143.799225,144.55,E,2,optical,6+7,0.915,stable_optical
B1,6,211.004895,211.0,A_2,1,optical,12,0.7006,stable_optical
B1,7,217.335372,217.1,E,2,optical,8+9,0.8376,stable_optical
B1,8,217.335372,217.1,E,2,optical,8+9,0.8376,stable_optical
B1,9,240.884431,241.11,A_1,1,optical,1,0.5486,stable_optical
B1,10,251.062407,251.5,E,2,optical,10+11,0.4447,stable_optical
B1,11,251.062407,251.5,E,2,optical,10+11,0.4447,stable_optical
B1,12,264.312806,263.59,A_1,1,optical,13,0.5478,stable_optical
B1,13,282.344315,282.34,A_2,1,optical,2,0.5183,stable_optical
B1,14,308.27096,308.5,E,2,optical,10+11,0.3344,stable_optical
B1,15,308.27096,308.5,E,2,optical,10+11,0.3344,stable_optical
B1,16,329.002032,328.92,A_1,1,optical,16,0.957,stable_optical
B1,17,340.466764,340.03,E,2,optical,21+22,0.7956,stable_optical
B1,18,340.466764,340.03,E,2,optical,21+22,0.7956,stable_optical
B1,19,351.069249,350.69,E,2,optical,23+24,0.623,stable_optical
B1,20,351.069249,350.69,E,2,optical,23+24,0.623,stable_optical
B1,21,391.174977,391.17,A_2,1,optical,20,0.4397,stable_optical
B1,22,412.710501,412.62,E,2,optical,18+19,0.8699,stable_optical
B1,23,412.710501,412.62,E,2,optical,18+19,0.8699,stable_optical
B1,24,438.472705,438.47,A_2,1,optical,20,0.5539,stable_optical
B1,25,561.348384,561.45,E,2,optical,25+26,0.9301,stable_optical
B1,26,561.348384,561.45,E,2,optical,25+26,0.9301,stable_optical
B1,27,609.17384,609.2,A_1,1,optical,27,0.999,stable_optical
B1,28,656.025456,655.94,E,2,optical,28+29,0.9775,stable_optical
B1,29,656.025456,655.94,E,2,optical,28+29,0.9775,stable_optical
B1,30,873.387779,873.39,A_2,1,optical,30,0.994,stable_optical
B2,1,-9.62447,-0.0,E,3,acoustic,3+4+5,1.0,acoustic
B2,2,-9.62447,0.0,E,3,acoustic,3+4+5,1.0,acoustic
B2,3,4.130122,0.0,A_1,3,acoustic,3+4+5,1.0,acoustic
B2,4,146.377261,147.18,E,2,optical,6+7,0.9074,stable_optical
B2,5,146.377261,147.18,E,2,optical,6+7,0.9074,stable_optical
B2,6,213.329028,213.33,A_2,1,optical,12,0.7393,stable_optical
B2,7,217.818624,217.49,E,2,optical,8+9,0.8455,stable_optical
B2,8,217.818624,217.49,E,2,optical,8+9,0.8455,stable_optical
B2,9,241.381514,241.64,A_1,1,optical,13,0.5771,stable_optical
B2,10,255.147282,255.63,E,2,optical,14+15,0.4329,stable_optical
B2,11,255.147282,255.63,E,2,optical,14+15,0.4329,stable_optical
B2,12,272.376495,271.6,A_1,1,optical,1,0.5612,stable_optical
B2,13,288.470172,288.47,A_2,1,optical,2,0.5722,stable_optical
B2,14,315.334572,315.56,E,2,optical,10+11,0.395,stable_optical
B2,15,315.334572,315.56,E,2,optical,10+11,0.395,stable_optical
B2,16,335.438846,335.38,A_1,1,optical,16,0.9776,stable_optical
B2,17,352.323524,351.89,E,2,optical,21+22,0.8263,stable_optical
B2,18,352.323524,351.89,E,2,optical,21+22,0.8263,stable_optical
B2,19,363.305792,362.88,E,2,optical,23+24,0.6791,stable_optical
B2,20,363.305792,362.88,E,2,optical,23+24,0.6791,stable_optical
B2,21,396.440045,396.44,A_2,1,optical,20,0.4606,stable_optical
B2,22,416.936025,416.87,E,2,optical,18+19,0.8496,stable_optical
B2,23,416.936025,416.87,E,2,optical,18+19,0.8496,stable_optical
B2,24,442.190986,442.19,A_2,1,optical,20,0.5355,stable_optical
