quantity,v_80,v_100,v_120,delta_100_120,rel_pct_100_120,converged_100_120,stability_sign_consistent_across_cutoffs
eps_xx,5.359166597,5.359288359,5.359311804,2.3e-05,0.00044,True,
eps_yy,5.359166597,5.359288358,5.359311804,2.3e-05,0.00044,True,
eps_zz,4.767241905,4.767356246,4.767374041,1.8e-05,0.00037,True,
mode_00_cm1,-110.802327,-110.94919,-110.902171,0.047,0.0424,True,True
mode_01_cm1,-64.033546,-66.637794,-66.612117,0.0257,0.0385,True,True
mode_02_cm1,5.480475,-19.714641,-29.898348,10.1837,N/A (|ref|<20cm-1),False,False
mode_03_cm1,5.480475,-19.714641,-29.898348,10.1837,N/A (|ref|<20cm-1),False,False
mode_04_cm1,9.97395,6.632534,7.476581,0.844,N/A (|ref|<20cm-1),True,True
mode_05_cm1,140.513409,140.248354,137.647761,2.6006,1.8543,False,True
mode_06_cm1,140.513409,140.248354,137.647761,2.6006,1.8543,False,True
mode_07_cm1,219.003984,217.729609,217.544872,0.1847,0.0848,True,True
mode_08_cm1,219.003984,217.729609,217.544872,0.1847,0.0848,True,True
mode_09_cm1,271.291929,269.703434,269.650788,0.0526,0.0195,True,True
mode_10_cm1,271.291929,269.703434,269.650788,0.0526,0.0195,True,True
mode_11_cm1,279.183428,279.381521,279.380073,0.0014,0.0005,True,True
mode_12_cm1,291.620823,291.525895,291.562859,0.037,0.0127,True,True
mode_13_cm1,312.463551,311.214104,310.343905,0.8702,0.2796,True,True
mode_14_cm1,312.463551,311.214104,310.343905,0.8702,0.2796,True,True
mode_15_cm1,370.37251,370.497553,370.522911,0.0254,0.0068,True,True
mode_16_cm1,386.176042,386.166804,386.198632,0.0318,0.0082,True,True
mode_17_cm1,399.336839,397.007328,396.660451,0.3469,0.0874,True,True
mode_18_cm1,399.336839,397.007328,396.660451,0.3469,0.0874,True,True
mode_19_cm1,427.079162,425.184667,425.231298,0.0466,0.011,True,True
mode_20_cm1,491.64206,491.645107,491.755144,0.11,0.0224,True,True
mode_21_cm1,491.64206,491.645107,491.755144,0.11,0.0224,True,True
mode_22_cm1,506.888465,506.526113,506.537667,0.0116,0.0023,True,True
mode_23_cm1,506.888465,506.526113,506.537667,0.0116,0.0023,True,True
mode_24_cm1,581.557348,580.088747,578.191271,1.8975,0.3271,True,True
mode_25_cm1,581.557348,580.088747,578.191271,1.8975,0.3271,True,True
mode_26_cm1,639.283627,639.311802,639.343345,0.0315,0.0049,True,True
mode_27_cm1,658.879155,658.858743,657.903287,0.9555,0.145,True,True
mode_28_cm1,658.879155,658.858743,657.903287,0.9555,0.145,True,True
mode_29_cm1,826.002236,825.691412,825.714022,0.0226,0.0027,True,True
