field_direction,h,max_abs_diff_pmV
x,0.01,43.314805423649865
x,0.001,2.018476832804687
x,0.0001,0.01910350679997208
x,1e-05,0.00019093278874748876
x,1e-06,1.9093176675255563e-06
x,1e-07,1.9093171488293592e-08
x,1e-08,1.9093704395345412e-10
x,1e-09,1.9113599591946695e-12
x,1e-10,2.1316282072803006e-14
x,1e-12,7.105427357601002e-15
y,0.01,62.02443207961902
y,0.001,2.249378923023496
y,0.0001,0.020793942231680518
y,1e-05,0.00020778186835812562
y,1e-06,2.0778020797251884e-06
y,1e-07,2.068371429686522e-08
y,1e-08,1.7183003766766036e-09
y,1e-09,7.071861318763695e-09
y,1e-10,9.291168723279952e-08
y,1e-12,9.762890755382614e-06
z,0.01,47.48339449454164
z,0.001,1.3863757608031335
z,0.0001,0.013340835990980793
z,1e-05,0.00013335805969916237
z,1e-06,1.3335834481154052e-06
z,1e-07,1.3413263388883934e-08
z,1e-08,1.923780246215756e-09
z,1e-09,4.350305005118571e-09
z,1e-10,9.522073440848544e-08
z,1e-12,1.1993880683291991e-05
