branch,mu,k,raw_value_Ry_au,deps_dE_pmV,eps_ii,eps_jj,r_pmV,symmetry_allowed,flag
LDA@PBEsol-geometry,1,x,0.0,0.0,5.48849188,5.48849188,-0.0,False,
LDA@PBEsol-geometry,1,y,287.316904966,790.179,5.48849188,5.48849188,-26.2313,True,
LDA@PBEsol-geometry,1,z,-420.403536473,-1156.1938,5.48849188,5.48849188,38.3817,True,
LDA@PBEsol-geometry,2,x,-0.0,-0.0,5.48849188,5.48849188,0.0,False,
LDA@PBEsol-geometry,2,y,-287.316904994,-790.179,5.48849188,5.48849188,26.2313,True,
LDA@PBEsol-geometry,2,z,-420.403536514,-1156.1938,5.48849188,5.48849188,38.3817,True,
LDA@PBEsol-geometry,3,x,-0.0,-0.0,5.327700806,5.327700806,0.0,False,
LDA@PBEsol-geometry,3,y,0.0,0.0,5.327700806,5.327700806,-0.0,False,
LDA@PBEsol-geometry,3,z,-377.647254087,-1038.6055,5.327700806,5.327700806,36.5907,True,
LDA@PBEsol-geometry,4,x,-0.0,-0.0,5.48849188,5.327700806,0.0,False,
LDA@PBEsol-geometry,4,y,-420.403536514,-1156.1938,5.48849188,5.327700806,39.5401,True,
LDA@PBEsol-geometry,4,z,0.0,0.0,5.48849188,5.327700806,-0.0,False,
LDA@PBEsol-geometry,5,x,-420.403536473,-1156.1938,5.48849188,5.327700806,39.5401,True,
LDA@PBEsol-geometry,5,y,-0.0,-0.0,5.48849188,5.327700806,0.0,False,
LDA@PBEsol-geometry,5,z,-0.0,-0.0,5.48849188,5.327700806,0.0,False,
LDA@PBEsol-geometry,6,x,287.316904966,790.179,5.48849188,5.48849188,-26.2313,True,
LDA@PBEsol-geometry,6,y,0.0,0.0,5.48849188,5.48849188,-0.0,False,
LDA@PBEsol-geometry,6,z,-0.0,-0.0,5.48849188,5.48849188,0.0,False,
LDA@LDA-relaxed,1,x,0.0,0.0,5.573331875,5.573331875,-0.0,False,
LDA@LDA-relaxed,1,y,253.758676075,697.8871,5.573331875,5.573331875,-22.4675,True,
LDA@LDA-relaxed,1,z,-395.483284743,-1087.6581,5.573331875,5.573331875,35.0157,True,
LDA@LDA-relaxed,2,x,0.0,0.0,5.573331876,5.573331876,-0.0,False,
LDA@LDA-relaxed,2,y,-253.758676137,-697.8871,5.573331876,5.573331876,22.4675,True,
LDA@LDA-relaxed,2,z,-395.483284875,-1087.6581,5.573331876,5.573331876,35.0157,True,
LDA@LDA-relaxed,3,x,0.0,0.0,5.527594746,5.527594746,-0.0,False,
LDA@LDA-relaxed,3,y,-5.8e-08,-0.0,5.527594746,5.527594746,0.0,False,
LDA@LDA-relaxed,3,z,-367.245741967,-1009.9992,5.527594746,5.527594746,33.0559,True,
LDA@LDA-relaxed,4,x,-0.0,-0.0,5.573331876,5.527594746,0.0,False,
LDA@LDA-relaxed,4,y,-395.483284875,-1087.6581,5.573331876,5.527594746,35.3054,True,
LDA@LDA-relaxed,4,z,-5.8e-08,-0.0,5.573331876,5.527594746,0.0,False,
LDA@LDA-relaxed,5,x,-395.483284743,-1087.6581,5.573331875,5.527594746,35.3054,True,
LDA@LDA-relaxed,5,y,0.0,0.0,5.573331875,5.527594746,-0.0,False,
LDA@LDA-relaxed,5,z,-0.0,-0.0,5.573331875,5.527594746,0.0,False,
LDA@LDA-relaxed,6,x,253.758676075,697.8871,5.573331875,5.573331876,-22.4675,True,
LDA@LDA-relaxed,6,y,-0.0,-0.0,5.573331875,5.573331876,0.0,False,
LDA@LDA-relaxed,6,z,-0.0,-0.0,5.573331875,5.573331876,0.0,False,
