branch,geometry,xc,pseudopotentials,contribution,i,j,k,raw_value_Ry_au,qe_definition
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,x,x,x,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,x,x,y,287.316904966,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,x,x,z,-420.403536473,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,x,y,x,287.316904966,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,x,y,y,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,x,y,z,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,x,z,x,-420.403536473,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,x,z,y,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,x,z,z,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,y,x,x,287.316904966,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,y,x,y,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,y,x,z,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,y,y,x,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,y,y,y,-287.316904994,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,y,y,z,-420.403536514,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,y,z,x,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,y,z,y,-420.403536514,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,y,z,z,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,z,x,x,-420.403536473,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,z,x,y,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,z,x,z,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,z,y,x,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,z,y,y,-420.403536514,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
